magnitude,R_eff,overdispersion,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
low,1.2,NA,long,649,642,1000,1000
low,1.2,NA,short,512,506,1000,1000
low,1.2,NA,long,914,915,1000,1000
low,1.2,NA,short,768,766,1000,1000
low,2,NA,long,675,636,1000,1000
low,2,NA,short,501,491,1000,1000
low,2,NA,long,918,900,1000,1000
low,2,NA,short,771,762,1000,1000
