R_eff,overdispersion,magnitude,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
1.5,NA,low,long,351,364,1000,1000
1.5,NA,low,short,301,296,1000,1000
1.5,NA,high,long,362,319,1000,1000
1.5,NA,high,short,332,300,1000,1000
2.5,NA,low,long,360,335,1000,1000
2.5,NA,low,short,307,291,1000,1000
2.5,NA,high,long,361,170,1000,1000
2.5,NA,high,short,287,197,1000,1000
