serial_interval,magnitude,R_eff,overdispersion,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
RSV,low,1.5,NA,long,351,364,1000,1000
RSV,low,1.5,NA,short,301,296,1000,1000
RSV,low,2.5,NA,long,341,302,1000,1000
RSV,low,2.5,NA,short,296,284,1000,1000
RSV,high,1.5,NA,long,337,294,1000,1000
RSV,high,1.5,NA,short,303,282,1000,1000
RSV,high,2.5,NA,long,361,170,1000,1000
RSV,high,2.5,NA,short,287,197,1000,1000
